ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов)
40,4/11/2021,Артикул 40,5,Бренд 17,Вышитая икона прекрасна! Недостаток в наборе- тонкие некаленые иголки. Гнутся и ломаются,Людмила,RU,белый,0,0,0
41,4/11/2021,Артикул 31,5,Бренд 10,"Пряжа шикарная, очень мягкая, абсолютно не колется. Расход пряжи маленький, 6 мотков хватило на пуловер 46-го размера. После стирки не растягивается. Изделие легкое, тёплое и пушистое!",Ольга,RU,"кремовый, молочный, античный белый",0,0,1
45,4/11/2021,Артикул 44,5,Бренд 22,"Станок для вышивания очень хороший! Довольна покупкой! Качество древесины, простая понятная схема сборки, надёжная упаковка - всё замечательно! Большое спасибо производителю за  качественное изделие.",Марина,RU,,0,0,1
49,4/11/2021,Артикул 48,5,Бренд 22,Удобный станок.,Наталья,RU,,0,0,0
50,4/11/2021,Артикул 49,5,Бренд 24,Всё пришло в отличном состоянии,Антонина,RU,,0,0,0
54,3/11/2021,Артикул 53,5,Бренд 24,Пришли всем 5 шт. Цвет красивый 212. И цена 290 руб.,Валентина,RU,,0,0,0
57,3/11/2021,Артикул 49,5,Бренд 24,"Пряжа понравилась, цвет чайной розы. Упаковки пришли все по 5 шт. Выкупила всё, что заказала",Валентина,RU,,0,0,0
66,3/11/2021,Артикул 64,5,Бренд 25,Супер! Доставка быстрая! Супруга довольна.,Максим,KZ,,0,0,0
70,3/11/2021,Артикул 68,5,Бренд 10,спасибо вам большое все отлично 👍,Ani,AM,коричневый,0,0,0
76,3/11/2021,Артикул 74,1,Бренд 24,"Это ужас ужасный!!!!! Заказала второй раз пряжу от этого производителя, так ждала, а в итоге... Пришла не пряжа в 5 мотках, а хрень полная!!!! Один пакет в который запихана непонятно как вся пряжа одним большим куском!!! Ни каких надписей опознавательных, вся грязная!!! Такое ощущение что просто остатки с пола собрали и отправили!!! Я была лучшего мнения, когда получила первый заказ, он был аккуратно рассфасован, по 5 мотков, с этикетками. Я в шоке конечно.
Процент выкупа снимать даже не думайте, я охренела от увиденного!!!
Звёзды не одной ставить не хочу, но без этого не пропускает отзыв, поэтому 1 и то, чтобы пропустили!!",Наталья,RU,,0,0,0
81,3/11/2021,Артикул 79,4,Бренд 2,"Вышивка не плохая, бисер не самого высокого качества, но смотрится не плохо. Снимаю одну звезду за то что не хватило несколько бисера когда вышивала одежду пришлось заменить другим цветом",Екатерина,RU,белый,0,0,0
83,2/11/2021,Артикул 48,5,Бренд 22,"Очень качественное изделие, аккуратно исполнены все детали, прочное и устойчивое",Александр,RU,,0,0,0
87,2/11/2021,Артикул 84,4,Бренд 10,"Звезду снимаю за то что немного цвет темнее,чем на фото. Пряжа пришла быстро!",Ольга,RU,светло-бежевый,0,1,0
92,2/11/2021,Артикул 89,5,Бренд 33,Товар пришел хорошего качества и коробка целая. Все подошло.,Александра,RU,,0,0,0
94,2/11/2021,Артикул 91,5,Бренд 25,"Классная соль! Заказываю не первый раз, всегда приходит хорошо упакованная. В воде быстро растворяется, чистая без всякого мусора. Нереально расслабляет и хорошо сплю после нее. Еще после тренировки помогает снять боль в мышцах, сразу такая легкость. Кожа после скраба с солью мягкая и нежная, даже кремом не пользуюсь. Рекомендую!",Алёна,RU,,0,0,0
95,2/11/2021,Артикул 64,5,Бренд 25,"Увидела этот продукт в инстаграме магазина почитала отзывы и решила заказать. Все пришло хорошо запакованное целое, дозатор работает. После болезни волосы сыпались, а тут со второго раза уже заметно меньше выпадают! И еще корни стали не такие жирные. Щипет конечно,  но терпимо. Большой плюс,  что легко смывается. Как закончится, точно закажу еще, рекомендую😉",Алёна,RU,,0,0,1
96,2/11/2021,Артикул 92,3,Бренд 10,"Пряжа хорошая. Но после ручной стирки связанное изделие очень сильно растягивается. Чтобы осталось нужного размера нужно или компановать до нужного размера, или добавлять какую-то дополнительную нить для фиксации.",Наталия,RU,,0,0,1
101,1/11/2021,Артикул 97,5,Бренд 21,Пряжа понравилась- мягкая и нежная! Цвет очень красивый! Связала шапку в 2 нити на спицах №5. Буду заказывать пряжу в других цветах.,Елена,RU,"сиреневый, лавандово-розовый",0,0,0
113,1/11/2021,Артикул 109,2,Бренд 10,Цвет грязный не соответствует картинке сплошное разчарование,Людмила,RU,"туман, серо-голубой, серо-голубой светлый",0,1,0
119,31/10/2021,Артикул 115,5,Бренд 24,"Очень хорошая пряжа, лысых петель не было.",Валентина,RU,,0,0,1
124,31/10/2021,Артикул 120,5,Бренд 10,"Пряжа очень понравилась и в работе и детям, мягкая, теплая, не колется, жалко, нет палитры",Анна,RU,синий,0,0,1
125,31/10/2021,Артикул 121,1,Бренд 22,"очень расстроена, ножки-основания не подходят друг другу по толщине, как писала выше девушка, тот же брак.
придется вернуть, ну где же гарантии, что придет без такого брака?
Пожалуйста, я перезакажу, но отправьте мне без брака детали.",Надежда,RU,,0,0,0
127,31/10/2021,Артикул 123,5,Бренд 3,Отличная канва!!!,Андрей,RU,слоновая кость,0,0,0
135,31/10/2021,Артикул 49,5,Бренд 24,"Пряжа хорошая,цвет ярче чем на фото.красивый розовый",Мария,RU,,0,0,0
136,31/10/2021,Артикул 131,5,Бренд 24,Пряжа очень понравилась. Всем рекомендую,Галина,RU,,0,0,0
141,31/10/2021,Артикул 136,5,Бренд 22,"Отличный станок, дерево хорошо обработано, канву держит, но лучше использовать дополнительно боковую натяжку. Во время работы не шатается, устойчивый, поддерживать не надо, обе руки свободны",Анастасия,RU,,0,0,0
146,30/10/2021,Артикул 141,5,Бренд 10,"Пряжа очень мягкая, цвет хороший, спасибо",Ольга,RU,,0,0,0
148,30/10/2021,Артикул 53,5,Бренд 24,Отличные ниточки. А цена вообще сказочная. Спасибо.,Руслан,RU,,0,0,0
149,30/10/2021,Артикул 143,5,Бренд 23,"Пряжа хорошая, мягкая, шапка и шарф очень хорошо получились",Диана,RU,белый,0,0,1
154,30/10/2021,Артикул 141,5,Бренд 10,"Очень приятная на ощупь пряжа, брала для детских шапочек, думаю колоться не должна. Цвет совпадает, пришла хорошо упакована.",Светлана,RU,,0,0,0
158,30/10/2021,Артикул 26,5,Бренд 10,Всё соответствует,Ольга,RU,светло-серый,0,0,1
160,30/10/2021,Артикул 152,5,Бренд 24,"Хорошая пряжа. Вязала впервые, просто и быстро. Хватило на плед новорожденному. На фото цвет получился насыщеннее чем в жизни",Ирина,RU,,0,0,0
161,30/10/2021,Артикул 141,3,Бренд 10,"Номер 47- пряжа хорошая, но сами мотки из разных партий пряжи.",светлана,RU,,0,1,0
168,29/10/2021,Артикул 159,5,Бренд 35,Все супер!,Анастасия,RU,белый,0,0,0
169,29/10/2021,Артикул 53,5,Бренд 24,"нитки мягкие, цвет красивый",Валерия,RU,,0,0,0
170,29/10/2021,Артикул 160,5,Бренд 4,"Набор хороший, удобно, что ключ уже прямо на нитках. Единственное, меня взбесила разметка, потому что она на миллиметр от дырок съехала. Психанула, решила отстирать канву и расчертить все самой - а она не смывается, несмотря на то, что есть инструкция по стирке. Ну ладно. Все равно потом отстирывать ванишем+порошок. Там все что угодно отойдёт)",Вероника,RU,,0,0,1
171,29/10/2021,Артикул 64,3,Бренд 25,Особо эффекта не заметила.,Елена,RU,,0,0,0
172,29/10/2021,Артикул 161,3,Бренд 25,Обычная соль,Елена,RU,,0,0,0
177,29/10/2021,Артикул 131,5,Бренд 24,"Хорошая пряжа
Спасибо продавцу
Рекомендую",Оксана,RU,,0,0,0
188,29/10/2021,Артикул 175,1,Бренд 14,Упаковка вскрыта. Один моток из двух украден.,Наталья,RU,синий,0,1,0
189,28/10/2021,Артикул 176,1,Бренд 14,Полнейшее безобразие!!! Заявлено 2 мотка. Я попросила заказ забрать дочь. Она привозит один моток!!!!!! Один!!!!!!! Бессовестные люди! Как Вам не стыдно! Продать за такие деньги один моток! Чтоб мои деньги стали Вам поперёк горла! Буду жаловаться на Вас во все организации! Мошенники!,Галина,RU,какао,0,0,0
192,28/10/2021,Артикул 179,5,Бренд 22,"Счастью нет предела! Рама очень хорошая, гладкая! И размер Оказался для меня самый ходовой! Спасибо за быструю доставку, всё на высшем уровне!",Светлана,RU,,0,0,0
195,28/10/2021,Артикул 182,5,Бренд 2,"Я всегда вышивала на ткани,а тут образ на картоне,сначала было не привычно,исколола себе пальцы,но а потом уже привыкла и чем дальше шила тем больше нравилось!",Софья,RU,белый,0,0,0
197,28/10/2021,Артикул 184,3,Бренд 7,"Набор пришёл вскрытый. При осмотре вроде всё на месте, но впечатление подпорчено.",Ирина,RU,молочный,0,0,0
204,28/10/2021,Артикул 190,1,Бренд 10,"Условие заказа 4мотка, пришёл один. Отказ. Очень жаль.",Елена,RU,,0,0,3
214,27/10/2021,Артикул 115,5,Бренд 24,"Использовала 3 мотка из пачки, все петельки ровные, не лысые. Цвет соответствует.",Кристина,KZ,,0,0,0
222,26/10/2021,Артикул 206,5,Бренд 10,"Шерсть 100%, цвет красивый",Галина,KZ,,0,0,1
226,26/10/2021,Артикул 131,5,Бренд 24,"Все отлично! Цвет пудра, по факту приглушённый розовый, тяжело передаётся на фото.",Екатерина,RU,,0,0,0
231,26/10/2021,Артикул 214,5,Бренд 3,Отличная равномерка! Особенно порадовала цена - 762р.,Елена,RU,серо-бежевый,0,0,0
234,26/10/2021,Артикул 217,5,Бренд 22,"Отличный станок, отличные материалы. Девушке очень понравился.",Дмитрий,RU,,0,0,0
240,25/10/2021,Артикул 223,5,Бренд 2,Очень понравилось 😍🥰,Дарья,RU,белый,0,0,0
243,25/10/2021,Артикул 226,5,Бренд 10,Все отлично,Елена,RU,,0,0,0
247,25/10/2021,Артикул 230,5,Бренд 52,"Вкусная вещь, жаль, что маленькая упаковка, улетает очень быстро.",Денис-Ирина,RU,,0,0,0
249,25/10/2021,Артикул 231,5,Бренд 17,Здравствуйте.Брала этот набор.Вышивала месяца 2-3.Всё понравилось и получилось очень красиво.Единственное одного цвета не хватило и пришлось добирать.,Ольга,KZ,белый,0,0,0
253,25/10/2021,Артикул 234,5,Бренд 10,"Покупала 3 моточка на шапку. Пряжа очень мягкая, приятно вязать и моточки между собой можно соединить сухим валянием. Смотрится красиво, петли ложатся ровно. Знаю из нее вяжут ещё и красивые плечевые изделия. На шапку английской резинкой с большим отворотом и завышенной макушкой, у меня ушло чуть меньше 1,5 мотка.
Обязательно ещё куплю ❤️",Аурика,RU,бледно-голубой,0,0,2
254,25/10/2021,Артикул 235,3,Бренд 2,"Купила в начале года, сейчас до вышивки этого набора дошла очередь. К сожалению, работу пришлось приостановить - 5 цветов из набора совершенно не соответствуют ни сюжету, ни описанию этих же цветов в схеме (5А, 8Д, 10С, 10Д, 13Д). Направлена претензия производителю, надеюсь, что устранят свою ошибку и заменят. т.к. желания бегать по магазинам в поисках подбора нет.",Марина,RU,белый,0,0,0
256,25/10/2021,Артикул 237,5,Бренд 24,Из этих ниток всегда получаются воздушные и комфортные изделия для детей!,Екатерина,RU,,0,0,0
257,24/10/2021,Артикул 238,5,Бренд 24,"Отличная пряжа! Без узелков, все как всегда в ней, полностью устраивает!",Марина,RU,,0,0,0
259,24/10/2021,Артикул 175,3,Бренд 14,"Добрый вечер, заказала несколько упаковок, синий и серый цвет в двух экземплярах,так вот  две упаковки в этих цветах пришли по одному мотку,Полное безобразие,вводите покупателя в заблуждение и теперь думай куда пристраивать эти два,рассчитывала на четыре моточка. Буду надеяться что пряжа появится ещё в продаже а ближайшее время. На вид пряжа хорошая. С уважением ваш покупатель",ольга,RU,синий,0,0,0
262,24/10/2021,Артикул 242,5,Бренд 2,Спасибо производителю!,Елена,RU,белый,0,0,0
263,24/10/2021,Артикул 115,5,Бренд 24,**********,Юлия,RU,,0,0,0
267,24/10/2021,Артикул 246,5,Бренд 8,"Классная, качественная картина. В комплекте есть все! Два размера бисера: обычный и микро. Микро выглядит в работе очень красиво!!! Купите сразу в запас иголки для микро бисера, так как она быстро изогнётся.",Анна,RU,белый,0,0,0
268,24/10/2021,Артикул 247,5,Бренд 24,"Качество пряжи хорошее, уж заказывала два раза, только цвет другой. Возврат только потому, что цвет в реале не соответсвует цвету на фото",Александра,RU,,0,0,0
270,24/10/2021,Артикул 249,5,Бренд 10,Когда будет поступление пряжи ?,Лариса,RU,светло-серый,0,0,0
273,24/10/2021,Артикул 252,5,Бренд 17,"Вышивать легко и приятно, бисер однородный, схема яркая и прочная.",Валентина,RU,белый,0,0,0
278,23/10/2021,Артикул 26,5,Бренд 10,"Пряжа пришла быстро! Она потрясная!! Мягкая и лёгкая, как облачко!!!",Мария,RU,,0,0,2
280,23/10/2021,Артикул 257,5,Бренд 17,"Набор классный,всё как в описании. Не первый раз покупаю наборы для вышивки фирмы радуга бисера. Весь набор пришёл без брака. Единственное одна игла,можно было бы и побольше,так как ломаются иглы. Но это уже вопрос к производителю. Являюсь постоянной вышивальщицей этой фирмы. Качество напечатанного рисунка классное. Вышивать приятно. Брала со скидкой. Доставка соответствует срокам. Спасибо огромное.",Олеся,RU,белый,0,0,0
283,23/10/2021,Артикул 31,5,Бренд 10,"Отказ, цвет молочный, не подошел.",Светлана,RU,,0,0,0
284,23/10/2021,Артикул 260,5,Бренд 16,"Отличная пряжа, рекомендую.",Светлана,RU,белый,0,0,0
285,23/10/2021,Артикул 115,5,Бренд 24,Отличная пряжа!👍,Софья,RU,,0,0,0
287,23/10/2021,Артикул 217,5,Бренд 22,"Я в восторге!!! Нет слов, все прекрасно, очень удобно!!!",Елена,RU,,0,0,0
293,23/10/2021,Артикул 64,5,Бренд 25,Добрый день. Масло пришло хорошо упакованное. Пользовалась только одни раз. После первого применения волосы стали на ощупь гуще и мягче. Буду использовать дальше. По истчении некоторого времени напишу ещё.,Ирина,RU,,0,0,0
294,23/10/2021,Артикул 267,5,Бренд 16,Отличная пряжа. Буду заказывать ещё!,Оксана,RU,белый,0,0,0
295,23/10/2021,Артикул 268,5,Бренд 28,"Шерсть хорошая,не отбелка.Спасибо!",Марина,RU,белый,0,0,0
296,22/10/2021,Артикул 269,4,Бренд 11,"Тоже пришёл набор с отошедшим краем упаковки, пришлось в пункте все проверять досконально, чтоб все материалы были на месте, но вроде все норм. А набор просто восхитительный и цена самая низкая в интернете!",Кира,RU,,0,0,0
306,22/10/2021,Артикул 115,5,Бренд 24,Пряжа отличная,ольга,RU,,0,0,0
309,22/10/2021,Артикул 44,5,Бренд 22,"Станок - просто мечта! Давно искала именно такой, чтоб на него можно было закрепить лупу и лампу! Чтобы он был мобильный, чтобы я не была привязана к определённому месту в квартире! Качество исполнения - 10 баллов из 10! Со сборкой справилась самостоятельно! Доставка быстрая, упаковано все аккуратно! Ни одного нарекания! Спасибо производителям и WB!",Елена,RU,,0,0,0
314,22/10/2021,Артикул 285,5,Бренд 22,"Очень хороший, станочек! У меня уже второй!",Оля,RU,,0,0,0
315,22/10/2021,Артикул 286,5,Бренд 11,"Все как в описание, но канва мелкая",Вероника,RU,,0,0,0
317,22/10/2021,Артикул 288,5,Бренд 22,"Быстрая доставка! Все детали целые, хорошо обработаны. Легки в сборке. Схема- инструкция прилагается. Рекомендую!",Ирина,RU,,0,0,0
319,22/10/2021,Артикул 44,5,Бренд 22,"Отличный станок! Быстрая доставка!Легко собрала сама. Инструкция -схема прилагается. Все целое, детали ,хорошо обработаны, гладенькие,идеально подогнаны друг дружке.  Качественный товар! Удобен в использовании. Рекомендую👍👍👍👍Соответствует фото на сайте",Ирина,RU,,0,0,0
320,22/10/2021,Артикул 290,3,Бренд 6,"Из плюсов хорошая канва и сам образ. Из минусов, что и было написано от покупателей выше. Бисер мелкий, накидка по цвету уж очень яркая,но я была к этому готова, поэтому купила другие цвета из серии Гамма. Если понравился рисунок, берите, но будьте готовы, что бисер либо полностью заменить на качественный, либо по цветам подбирать.",Светлана,RU,белый,0,0,0
321,22/10/2021,Артикул 291,5,Бренд 10,"Потрясающая пряжа😍Вязать одно удовольствие. Не сыпится, легко распускается(при необходимости).",Марина,RU,,0,0,4
324,22/10/2021,Артикул 294,5,Бренд 3,"Канва безупречная,советую к покупке",Лиана,RU,"молочный, серый",0,0,0
329,22/10/2021,Артикул 297,5,Бренд 56,Очень хороший скребочек.,Ольга,RU,серебристый,0,0,0
333,21/10/2021,Артикул 300,5,Бренд 22,"Станок отлично отшлифован. Хорошо упакован, легко собрался. Но ни как не могу приспособиться, что то не моё. В день вышиваю часа два. Несколько раз за это время переворачиваю для закрепления нитей. И за это время он у меня почему то весь раскручивается. Хотя хорошо вроде бы протянут на нужной высоте. Видимо что то я делаю не так.",Ольга,RU,,0,0,0
339,21/10/2021,Артикул 306,5,Бренд 10,"Хорошая пряжа, заказала 2 упаковки (6шт) вышли две шапки, взрослая и детская (на фото) вязала в 2 нити крючком 4,5",Гульназ,KZ,светло-бирюзовый,0,0,2
344,21/10/2021,Артикул 311,5,Бренд 10,"Спасибо! Отличная пряжа, все пришло быстро и цвет соответствует👍",Екатерина,RU,,0,0,2
351,21/10/2021,Артикул 131,2,Бренд 24,"Цвет на фото и на самом деле разный, на фото больше беж, по факту розовый, сама пряжа хорошая",Оксана,RU,,0,0,0
352,21/10/2021,Артикул 318,1,Бренд 24,"Приехал 1 моток в непонятной упаковке, маток весь запутанный, так вроде продукция хорошая, а вот почему то именно этот цвет вот так коряво пришел",Татьяна,KZ,,0,0,0
354,21/10/2021,Артикул 320,5,Бренд 22,Хорошо товарищ,Андрей,RU,,0,0,0
358,21/10/2021,Артикул 324,5,Бренд 23,"Безобразие я в шоке от вашей работы. Заказала первый раз пришли четыре мотка вместо пяти. Сделала возврат. В этот день перезаказала
Ждала заказ две недели. Сегодня пришёл заказ и опять четыре мотка. Могли в качестве бонуса доложить моток другого цвета или подарок. Пряжа очень нужна пришлось брать четыре мотка. Такое отношение отбивает желание работать с вами.",Вера,RU,васильковый,0,0,1
367,20/10/2021,Артикул 226,5,Бренд 10,"Спицы гладкие ,всё соответствует размеру.",Елена,RU,,0,0,0
368,20/10/2021,Артикул 333,5,Бренд 2,"Вышивка просто класс.Такие не избитые сюжеты.Все нитки были на месте,но вот что меня разачаровало,что ниток ооочень мало.Заканчиваются на самом интересном месте.Схема на бумаге потрепалась конечно,но за такие деньги можно и простить производителя)",Екатерина,RU,белый,0,0,0
370,20/10/2021,Артикул 335,3,Бренд 10,"Отличается цветопередача, пришел цвет темнее. Ждала такой светлый ментоловый, пришел зелёный.",Аурика,RU,,0,0,0
374,20/10/2021,Артикул 339,5,Бренд 16,Соответствует описанию,Оксана,RU,"фиолетовый, серо-фиолетовый",0,0,0
377,20/10/2021,Артикул 342,5,Бренд 23,Хорошее качество,Олеся,RU,молочный,0,0,0
378,20/10/2021,Артикул 206,5,Бренд 10,"Цвет соответствует, очень мягкая !",Ирина,RU,,0,1,1
380,20/10/2021,Артикул 344,5,Бренд 21,"Немного разочаровал цвет, больше похоже на цвет алый чем на оранжевый.",Елена,RU,"морковный, оранжевый",0,0,0
383,20/10/2021,Артикул 347,5,Бренд 56,Оч.качественная вещь,Наталья,RU,серебристый,0,0,0
388,19/10/2021,Артикул 351,5,Бренд 24,"Пряжа мягка , пушистая , узел встретился всего 1 раз , что не может не радовать .",Анна,RU,серый,0,0,0
391,19/10/2021,Артикул 354,5,Бренд 61,"Банки использую для заморозки, нравятся",Юлия,RU,прозрачный,0,0,0
392,19/10/2021,Артикул 48,5,Бренд 22,"Станок очень хорошего качества. Дерево гладкое, собирается очень быстро и легко. Страмин зажимает. 
Это мой первый станок, пока не очень привыкла, хвостики неудобно заправлять (я их с изнанки убираю), и нужно приноровиться, чтобы зафиксировать в удобном для меня положении. Но вроде справилась :)",Ирина,RU,,0,0,0
394,19/10/2021,Артикул 53,4,Бренд 24,"Пряжа хорошая, рекомендую",Лена,RU,,0,0,0
397,19/10/2021,Артикул 358,5,Бренд 5,Отличная вышивка !,Екатерина,RU,белый,0,0,1
402,19/10/2021,Артикул 363,5,Бренд 16,Пришёл один моток. Соответственно - отказ.,Ирина,RU,"серый, фиолетовый, розовый",0,0,0
407,19/10/2021,Артикул 367,5,Бренд 21,Нитки хорошие!,Александр,RU,"розовый, коралловый",0,0,0
408,18/10/2021,Артикул 175,2,Бренд 14,Пришёл один маток вместо двух.  От велдберис все чаще приходится отказываться. Вы обнаглели в край!,Елена,RU,синий,0,0,1
413,18/10/2021,Артикул 371,1,Бренд 33,"До этого заказывала все приходило хорошо, а сегодня дома увидела, что рама то не та! Возврат оформить не получается, в личном кабинете пытаюсь создать возврат ,но нет! Не знаю что делать и как быть!!! Вместо рамы от Сереги Мастера прислали Арабеску!",Валерия,RU,,0,0,0
417,18/10/2021,Артикул 375,5,Бренд 21,"Все отлично, рекомендую",Мария,RU,"светло-розовый, пудровый",0,0,0
421,18/10/2021,Артикул 378,2,Бренд 33,"Крепление снизу хлипкое,шатается и выскакивает из отверстий  буду ставить уголки .заказала потому что были хорошие отзывы ,но этот момент недоработка мастера все должно стоять монолитно!",Наталья,RU,бежевый,0,0,0
422,18/10/2021,Артикул 238,5,Бренд 24,Довольна всем,Людмила,RU,,0,0,0
423,18/10/2021,Артикул 115,5,Бренд 24,"Пакет пришел вскрытый. Явно открывали, смотрели. Пряжа пришла та, которую заказывала. На метраж не проверяла. Заказала две упаковки. Пришла одна. Вторая еще в пути. Это как? Одна заявка, один склад - и разные доставки? Больше с этого склада заказывать не буду.",Анна,RU,,0,0,0
425,18/10/2021,Артикул 380,5,Бренд 4,"Жена довольна, упаковка поменялась.",Вячеслав,RU,,0,0,0
426,18/10/2021,Артикул 381,5,Бренд 22,Они Восхитительны)))))) Не ожидала что товар будет такого хорошего качества))) Рекомендую),Инна,RU,,0,0,0
430,18/10/2021,Артикул 385,4,Бренд 22,"Размер заказала 30 на 56 , а пришел 30 на 48  но отказываться не стала качество отличное порадовали. Цена в размерах разная ,поэтому будьте внимательнее, за это звезду сняла .",Ирина,RU,,0,0,0
431,18/10/2021,Артикул 378,4,Бренд 33,"Получила станок. На вид отлично. НО... как крепить вышивку к станку, точнее чем?! Не понятно. Нет ни клипсов, ни резинки с зажимами. Это обидно. Вроде станок есть а вышивать не можешь. Почему в набор не включить всё необходимое, чтобы сразу начать работать. Где теперь можно купить дополнительные аксессуары?",Анна,RU,бежевый,0,0,0
434,17/10/2021,Артикул 381,3,Бренд 22,"К качеству притензтий нет,это третьи мои пяльцы фирмы Арабеска и они мне  очень нравятся,но пришлось делать возврат,так как пришли меньшего размера!!!Теперь придется перезаказывать и ждать возврат денег!!",Наталья,RU,,0,0,0
436,17/10/2021,Артикул 389,5,Бренд 3,Товар соответствует описанию,Евгения,RU,"песочный, кремовый",0,0,0
443,17/10/2021,Артикул 396,5,Бренд 7,Доставлено все в целостности и сохранности. Вышивать одно удовольствие!,Ирина,RU,темно-бежевый,0,0,0
444,17/10/2021,Артикул 397,5,Бренд 10,Ожидание и реальность. Возврат из-за цвета.,Оксана,RU,,0,0,1
456,17/10/2021,Артикул 84,5,Бренд 10,Отличная! Пушистая!,Наталья,KZ,,0,0,1
457,17/10/2021,Артикул 385,5,Бренд 22,"Долго была в раздумьях какой заказать. Станок супер, начиная от упаковки, деталей, обработанных идеально, гладкие, приятно взять в руки, пока собирала, получала удовольствие, барашки прижимают отлично, закручивать легко и выглядят забавно, в отличии от другого производителя Серега-Мастер (брала держатель для схем, там ужасно, закручивать руки больно и раскручиваются постоянно). В этом станке все продумано, он идеален. В работе пока не пробовала, но думаю получу наслаждение, спасибо производителю",Виктория,RU,,0,0,0
458,16/10/2021,Артикул 190,5,Бренд 10,"Цвет на самом дела оказался ярким, типа ярко-розовой фуксии. Поэтому отказ",Елена,RU,,0,1,1
460,16/10/2021,Артикул 31,3,Бренд 10,"Пришла партия другого цвета, которая дешевле заказанной, но деньги взяли как за более дорогой товар. Вот и думай: то ли случайно, то ли преднамеренно. Ещё и за возврат 50 руб. сняли. За что?!!",Жанна,RU,,0,2,2
467,16/10/2021,Артикул 31,5,Бренд 10,"Чудесная пряжа, ушло 5 моточков, размер 44-46",Марина,RU,,0,0,2
468,16/10/2021,Артикул 412,5,Бренд 17,Все хорошо. Спасибо производителю. ,Анна,RU,белый,0,0,1
474,16/10/2021,Артикул 417,5,Бренд 52,"Как рекомендовал Papavegan , готовлю с приправой рис! Очень вкусно. Правда во второй раз показалось, что состав изменился немного.)",Ольга,RU,,0,0,0
476,15/10/2021,Артикул 419,1,Бренд 22,"Не стал распоковывать на пункте выдачи, в упаковке оказалась дешманская скатерть! Попробую вернуть, возможно ошибка приемщиков или сортировщика на пункте выдачи!",Роман,AM,,0,0,0
477,15/10/2021,Артикул 89,5,Бренд 33,"Упаковка помятая,драная и вся в скотче.Сам товар на месте,все целое.",Алена,RU,,0,0,0
478,15/10/2021,Артикул 84,4,Бренд 10,"Пряжа отличная, но одна упаковка вскрыта , а другая- вместо 08 тона вложили 18- от этой упаковки отказалась, а ценник уже подняли.",маликова,RU,,0,1,0
480,15/10/2021,Артикул 84,4,Бренд 10,"Цвет конечно не тот!! Обидно, ждала эту пряжу. Но всё равно оставила.",Анастасия,RU,,0,1,1
482,15/10/2021,Артикул 422,1,Бренд 11,В наборе не было ниток. А ещё сам набор пришёл рванный и грязный. Возврат.,Анастсия,RU,,0,0,0
485,15/10/2021,Артикул 424,3,Бренд 17,"В комплекте должно быть 2 иглы, а в итоге только одна. Бисера полный комплект.",Марина,RU,белый,0,0,0
491,15/10/2021,Артикул 74,1,Бренд 24,Вместо 5 мотков пришло только 3 мотка,Елена,RU,,0,1,0
495,14/10/2021,Артикул 84,5,Бренд 10,"Все пришло целое, соответствует цвету",Екатерина,RU,,0,0,2
