Бренд,Очищенный текст отзыва,ПолезностьRFC,ПолезностьXGB,Полезность
Бренд 6,приобретать набор очень расстраиваться качество бисер особенно номер  бисер очень разный размер совершенно неоткалиброванный приводить фотография бусинка очень тонкий  штука пришивать откинуть оставлять который подходить размер остальной цвет бисер половина набирать замечать брать около  набор производитель икона сталкиваться премиум набор причем дешевый докупать бисер непонятный номер указывать общий разочаровывать очень сильно производитель,2,2,2
Бренд 18,хороший,1,1,1
Бренд 10,пряжа понравиться знать работа почему-то распаковывать знаюгде уровень заниматься очень неприятно,2,2,0
Бренд 10,пряжа хороший качество  вязка ровный получаться  очень довольный обьяснять пожалуйста  происходить ассортимент  наличие пряжа вообще  хотеться купить  наличие поставка ожидаться  продавец пропадать интерес  увы ,2,2,2
Бренд 24,отличный пряжа упаковка весь целый довольный,2,2,1
Бренд 24,приходить именно оттенок нужный моток упаковка грязный видимо ронять сборка,1,1,1
Бренд 2,замечательно вышиваться легко собираться просто часовой механизм работать,1,2,2
Бренд 2,красивый набор комплект рамка очень удобно,1,1,1
Бренд 24,хотеть дополнять свой предыдущий отзыв цвет норма  лапка остаток ,2,1,1
Бренд 10,"цвет нежный мятный ),  фото свитер получаться теплый мягкий любить шерсть колоться тело поэтому пряжа самый",2,2,2
Бренд 10,очень мягкий теплый скатываться пушиться цвет ,1,1,0
Бренд 10,спасибо большой заказ четко быстро аккуратно использовать дело связывать вечер капор,2,1,2
Бренд 2,необычно фон являться глянцевый картон перфорация работа получаться очень красивый плюс заморачиваться рамочка,2,2,2
Бренд 18,доставлять быстро цвет соответствовать картинка,1,1,0
Бренд 5,хороший производитель очень нравиться )) супер бисер оставаться  )) оформлять подарок папа рад,2,2,2
Бренд 53,красивый бисер набор комплект место хватить бисер пока понятно обожать цена вб вообще порадовать спасибо,2,2,2
Бренд 2,красота !!!!,2,1,2
Бренд 10,вязать мужской снут   шапка  моточек смотреться отлично,1,1,1
Бренд 18,отличный ниточка вязать крестильный набор девочка  месяц крючок  вязать удобно ниточка пушиться крутиться вязать удовольствие,1,2,1
Бренд 24,отличный нитка нету лысина петля одинаковый довольный,1,1,2
Бренд 61,баночка хороший специя немного великоватый пластик качественный единственный  штука приходить раскалывать дно приемка сразу замечать это критично,2,1,1
Бренд 3,отличный канва !!!,1,1,1
Бренд 24,"**********
",1,1,1
Бренд 6,спасибо набор икона получаться супер бисер оставаться,1,1,1
Бренд 53,набор приходить немного надрывать внутри целосность сохранность,1,1,1
Бренд 56,"приходить мешочек скол царапина очень удобный использование скользить кожа пользоваться большой удовольствие спасибо  :)
",2,1,1
Бренд 53,отличный состояние запечатывать мятый очень понравиться набор канва горчичный цвет иголочка красивый цвет ниточка крупный схема цвето символьный подробный понятный ключ инструкция вышивать удовольствие цена дешевый магазин,2,2,2
Бренд 24,хороший пряжа хороший продавец,1,1,1
Бренд 2,приходить комплект качество картинка отличный бисер красивый ровный покупка довольный это второй картина серия хотеться докупать оставаться,2,2,1
Бренд 10,моток оказываться бракованный нить разный толщина весь длинн вязать возможно моток выброс цена хотеться иметь качественный пряжа,2,2,2
Бренд 2,красивый икона легко вышивать качественно,1,1,1
Бренд 24,цвет яркий красочный приятный взгляд пряжа мягкий заказывать упаковка весь  моток заказывать первый отношение свой покупатель производитель видеть  практически весь петля сторона лысый приходиться выкручивать плед получаться красивый неужели сложный налаживать производство следить обидно покупаться пряжа подарок вина магазин,2,2,1
Бренд 10,пряжа отличный джемпер мальчик семь год уходить ровно  моток,2,2,2
Бренд 18,начало очень жесткий постирать становиться мягкий приятный очень понравиться,1,2,2
Бренд 52,упаковывать  покупать родитель прикол рубиновый свадьба заранее годовщина октябрь брать расчет срок годность год итог туба срок годность декабрь оставлять пока попробовать дополнительно отзыв добавлять вопрос октябрь заказывать отправлять срок годность декабрь израсходовать период,2,2,2
Бренд 10,крючок понравиться рука удобно держать крючок гладкий пряжа скользить отлично чехол небольшой запах думать время пройти,2,2,2
Бренд 22,отличный станок деталь качественный собираться быстро очень довольный приобретение,1,1,2
Бренд 8,"первый работа где-то ошибаться где-то инструкция дочитывать поэтому филин получаться немного растрепывать последний ряд ) :)  набор хороший весь корма нить ),  хватить инструкция понятный читать спасибо",2,2,2
Бренд 35,сказать это красивый это сказать ничто икона просто сказочно хороший смотреть дух захватывать красота набор скомплектовать идеально хватить игла трунциал спасибо,2,2,1
Бренд 5,хватить бисеринка №  это снимать звезда икона очень красивый,1,1,1
Бренд 10,пряжа шикарный цвет вообще попадать сожаление приходиться делать возврат фото цвет реальность сайт номер ,2,2,2
Бренд 53,повторно заказывать набор приходить вскрывать порядок спасибо,1,1,1
Бренд 21,пряжа присутствовать шерсть шапка нитка получаться теплый пряжа красивый,2,2,1
Бренд 9,пряжа который вязать доставка  день упаковка целый пять клубок упаковка цена хороший,2,2,1
Бренд 24,заказывать упаковка пряжа  приходить упаковка отлично  начинать вязать плед  должный прийти второй вместо оказываться кофта мальчик  дело вставать плед недовязывать приходиться заказывать снова  ноо  цена становиться высокий 🤔 😞,2,2,1
Бренд 21,приходить полный комплект цвет соответствовать,1,1,2
Бренд 24,хороший пряжа весь моток нормальный брак,2,2,2
Бренд 10,цвет класс пряжа хороший чистый шерсть колючий это норма шерсть,1,2,2
Бренд 6,сожаление комплект оказываться золотой нить проверять пвз ,1,1,0
Бренд 2,набор понравиться значительный недочет жемчуг очень плохой качество нужно подбирать размер бусина мелкий слишком крупный нитка комплект вообще подходить запутываться мелкий бисер подходить вышивать свой специально мелкий бисер тонкий игла легко вставляться фото прилагать вышивать белый бежевый данный работа это никак отражаться камень остальной бисер хороший складень обратный сторона несколько легкий царапина нужно упаковывать как-то транспортировка приходить набор заводской упаковка никакой защита вышивать подарок остальное хороший фото готовый работа прилагать,2,2,2
Бренд 10,нитка очень хороший,1,1,1
Бренд 8,отличный набор комплект очень довольный покупка огромный спасибо,1,1,2
Бренд 56,скребок бесподобный рука идеальный тяжеленький слово красивый вещь красивый цена 👍  брать пожалеть 😍,2,1,1
Бренд 33,упаковка узкий коробка дл  см станок понравиться сразу собирать сидеть кресло вышивать бисер деталь комплект дерево обрабатывать отлично станок подбирать удобно очень функциональный отверстие рама стойка давать возможность отрегулировать стойка закреплять лампа прищепка ненадобность разбирать убирать спасибо производитель отличный изделие,2,2,2
Бренд 6,красивенький птичка материал блестящий тонкий,1,1,1
Бренд 61,отличный крепкий крышка плотно закрываться взять заморозок ягода зима приходить целый,2,1,1
Бренд 10,сбываться мечта становиться обладательница комплект съемный спица приходить полный комплект красивый приятно вязать спица подходить вязание плечевой изделие длина   см,2,2,2
Бренд 22,натягивать сверху снизу бок канва провисать немного возможный боковой натяжка данный изделие,2,2,2
Бренд 61,хороший баночка нужно размер подходящий взять специя продажа назначение устраивать абсолютно баночка идеальный прозрачный легко подписывать крышка откручиваться предотвращать рассыпание,2,2,2
Бренд 17,прекрасный набор вышивка весь приходить отлично упаковывать,1,1,1
Бренд 8,"набор отличный бусина красивый бисер ровно столько сколько уходить браслет единственный уродец полагать карабин замок приходиться покупать шнурок минуточка  ₽ разбирать ради карабин  ))))) )  т раздел  « фурнитура » -  находить просто замок уважаемый , « упаковщик »  ставить место покупатель делать полный комплектация набор копейка стоять непозориться  ;))))  довольный покупатель приводить трое недовольный уводить десять",2,2,2
Бренд 18,приходить весь  моточек пакет вскрывать цвет горчица нитка мягкий тонкий колючий цена скидка  магазин цена моточек ,2,2,2
Бренд 53,вышивать радость долго зреть воплощение жалеть набор купить  ₽ начало сверху сразу весь ряд   гораздо удобно быстро покидать чувство опасение бисер хватить некоторый цветок подозрительно мало очень удобно производитель вкладывать набор табличка расшифровка цвет действительный артикул бисер  “ presiosa ”) недостающий цвет докупать лишний вопрос брак бисер встречаться немало вопрос бусина ❓ фото различный видео видеть бусина одинаковый цвет разный размер разный цвет мелкий кокошник ❔ ) -  бежевый цвет крупный белый почему разный приходиться искать магазин мелкий белый вообще бусина мало вкладывать набор драгоценный,2,2,2
Бренд 25,масло классный очень помогать мышечный боль физический нагрузка помогать головной боль втирать висок задний поверхность шея мочь ощущаться легкий покалывание нанесение появляться белый налет высыхание налет стряхивать движение рука,2,2,0
Бренд 10,спица классный конец острый приходить хороший состояние,1,1,2
Бренд 10,дополнять отзыв пряжа восторг деликатный мягкий связывать варежка вто практически поменять форма становиться мягко чуть-чуть пушистый резинка оставаться упругий разбрякнуть варежка уходить ровно  г полтора моток столько оставаться должно хватить повязка голова митенка пряжа рекомендовать цвет брать ,2,2,1
Бренд 25,отличный средство советовать,2,2,0
Бренд 2,хороший набор купить впервые пластиковый основа вышивка рамка красивый 😍,2,2,1
Бренд 3,отлично,1,1,0
Бренд 10,невероятный кайф вязать !!! нежный мягкий качество отменный,1,2,1
Бренд 14,кидмохер добавлять узелок сразу моточек идеально огромный спасибо производитель нужный ниточка шерсть !!! проект вставать,2,2,2
Бренд 6,"очень довольный результат набор вышиваться легко быстро правда замечание схема обалденный значок четкий ткань плотный правда ощущение бисер второй сорт процесс вышивка приходиться калибровать учитывать цена набор огромный запас бисер отшива оставаться очень ),  просто отлично спасибо набор давно хотеть вышивать мак именно такиие дом появляться первый 😍",2,2,2
Бренд 10,очень мягкий пряжа связывать свитерок сын пол годик подарок 😎 это первый детский вещь связанный судить строго 😁,2,2,2
Бренд 52,второй заказывать интервал  месяц второй присылать просрочивать самый !,1,1,1
Бренд 53,получать заказ повреждать упаковка известно этап повреждать итог хватать пакет бисер очень огорчать т стоять дешевый оплата онлайн заявка отклонять набор счет большой количество бисер тяжелый дополнительно хотя упаковывать фирма мочь элементарно прорваться доставка спрашивать,2,2,1
Бренд 24,пряжа супер петля качественно скреплять распускаться спасибо,2,2,0
Бренд 61,хороший формочка удобно складывать продукт холодильник,1,1,2
Бренд 24,упаковка  моточек весь целый качество пряжа отличный вязать удовольствие,1,2,2
Бренд 56,первый скребок выбирать долго свой выбор оценивать ребенок уронить однократно сделать дважды ощущение приятно держать холодильник хотеть попробовать теплый вариант сделать качественно рука держать удобно логотип действительно нигде скребок мешочек уверенный результат массаж это влиять,2,2,2
Бренд 11,приходить совершенно набор купить подарок отзыв писать первый покупатель мочь стоить задумываться wildberries сервис,2,2,0
Бренд 10,пряжа понравиться очень мягкий вязать удовольствие связывать дочь джемпер,1,2,2
Бренд 35,набор приходить полный комплектация сразу проверять материал запас бусина оставаться вышиваться икона очень легко быстро вышивать подарок пока подарить любоваться решать вышивать,2,2,2
Бренд 18,цвет особо горчичный скоро охра темно песочный,2,2,1
Бренд 24,качество хороший цветок поменять название вводить человек заблуждение видеть цвет глубокий пурпурный баклажаново фиолетовый должный приходить факт грязно розовый дешевый розовый !! возврат просить снимать процент выкуп !!!!!,2,1,2
Бренд 10,сегодня получать пряжа заказывать разный цвет  упаковочка моточек почему-то россыпь упаковочка моточек сделать возврат почему упаковывать пакет это белый фабел дропс,2,2,2
Бренд 24,отличный пряжа красивый нежный расцветка брать первый результат супер заказывать,2,2,2
Бренд 22,приходить быстро упаковка производитель особо пострадать пара дырка картон полный комплект станок арабеска любить пингвин диванный напольный допы крепление пяльцы подходить оба станок брать акция  руб,2,2,2
Бренд 10,пряжа восхитительный цвет фото молочный цвет представлять цвет беленый лен натуральный цвет хотя нужный белый оставлять т невероятно приятный качественный шерсть,2,2,2
Бренд 3,заказ получать быстро новый целый упаковка отрез очень ровный  см 😄 ткань равномерный дефект плотность по-моему похожий etamin цвет передаваться светло фото превивать очень рад приобретение огромный спасибо производитель продавец wb 💖 💖 💖,2,2,1
Бренд 10,пряжа мягкий колючий цвет розовый немного сиреневый оттенок,1,2,2
Бренд 11,чудесный набор место отличный состояние самый выгодный предложение,1,1,1
Бренд 22,просто шикарный советовать,2,1,2
Бренд 33,понравиться весь наличие собираться легко купить стойка серега —  мастер очень удобно менять высота рама угол наклон хотеть купить рама больший размер большой картина,2,2,2
Бренд 6,приходить целый покупка довольный,1,1,1
Бренд 88,"купить муж подарок подарить рано праздник побояться подходить размер успевать заказывать весь опасение напрасный поло подходить размер цвет муж понравиться кстати цвет далеко хаки просто красивый зеленый спасибо производитель качественный товар магазин wb возможность приобретение рекомендовать покупка однозначно  ))
",2,2,2
Бренд 24,супер довольный пряжа,1,1,2
Бренд 17,вышевка очень красивый получаться вышевать удовольствие качество набор высокий,2,2,2
Бренд 24,отличный пряжа нежный мягкий вязать удовольствие,2,2,1
Бренд 5,бисер канва хороший качество рекомендовать,1,1,1
Бренд 10,приятный вязание пряжа сыпаться петля ложиться ровно вязать нить спица  казаться идеальный соотношение изделие поводить вто пока знать постараться дополнять отзыв вто,2,2,2
Бренд 14,цвет соответствовать картинка,1,1,0
Бренд 8,потрясающий вышивка восторг,2,2,1
Бренд 53,заказывать набор приходить приходиться возвращать ,1,1,1
Бренд 3,отличный равномерок прямой белоснежный молочный,1,1,1
Бренд 10,супер пряжа,2,2,2
Бренд 6,очень разочаровывать  работа получаться красивый бисер хватить канва впервые сталкиваться окончание работа становиться видный перекос правый нижний угол вниз уходить рекомендовать покупка,2,2,0
Бренд 4,схема  страница канва оверложенный русски информация гарантийный талон канва  нить должно хватить запас расчет,2,1,1
Бренд 24,нежный приятный глаз цвет,2,1,0
Бренд 10,хороший пряжа вязание носочек перчатка варежка получаться тонкий теплый изделие вто альпака раскрываться становиться пушистый,2,2,2
Бренд 18,приходить ниточка целое упаковывать ниточка очень тоненький вязка крючок вязать спица нитка вязаный изделие очень тянуться очень стирка линять критично думать стирать рука бережный стирка машинка подходить,2,1,2
Бренд 22,восторг дерево обрабатывать отлично отшлифовывать товар оправдывать весь ожидание мужской помощь собирать,1,1,1
Бренд 6,вышивка понравиться рекомендовать,2,1,1
Бренд 22,весь целое приходить,1,1,2
Бренд 4,серия лука хороший считать весь дизайн шедевральный,2,2,2
Бренд 22,очень хороший удобный станок !!!,1,1,1
Бренд 3,первый заказывать весь отлично основа качественный,1,1,2
Бренд 22,"рама станок арабеска замечательный коллекция это  рама покупать вышивальный дизайн   см учет припуск  рама производитель самый большой размер маленький также станок  « иволга »,  удовольствие вышивать богатство 😊",2,2,2
Бренд 10,начинать вязать пока хороший узел вообще любить пряжа,1,1,2
Бренд 3,товар фирменный упаковка должный убеждаться это zweigart,2,2,1
Бренд 21,замечание упаковка порядок разность цвет процесс вязка находить изъян пряжа узел отзыв дополнять пока  звезда,1,1,1
Бренд 35,заказывать  ****   подарок родственница  ***  мочь разбирать цвет краска поменять какой-то ярко какой-то темно невозможно разбирать цвет вышивать  ****,2,2,1
Бренд 3,канва безупречный советовать покупка,1,1,1
Бренд 21,получаться заказывать  упаковка пряжа упаковка соответствовать пряжа xl обычный  изделие скоро хватить попробовать заказывать внимательный звезда снимать товар причем,2,2,2
Бренд 2,вышивка понравиться сожаление хватить бисер вышивка молитва т охра серебро  мочь находить пятизначный номер бисер preciosa данный оттенок благодарный производитель подсказывать,2,1,1
Бренд 2,отличный качество приемлемый цена 😊 бисер оставаться нитка хватить,1,1,2
Бренд 88,соответствовать размер смотреться очень красиво стильно,1,1,1
Бренд 6,хороший набор единственный иголка сломать,1,1,1
Бренд 24,пряжа хороший исключение цвет думать светлый заявлять картинка критично слегка расстраивать остальное мягкий приходить быстро советовать,2,2,2
Бренд 6,жизнь выглядеть играть блик вышивка изменять некоторый цвет например взять спокойный белый вышивка оставаться бисер фото остаток прикладывать,2,2,1
Бренд 7,заканчивать вышиква    месяц вышивать  работа огромный  вышиваться удовольствие ☺,2,1,2
Бренд 90,отличный элекрообогреватель весь зима пользоваться очень довольный советовать,1,1,1
Бренд 21,соответствовать товар упаковывать количество моточек  штука,2,1,1
Бренд 10,цвет  скоро молочный белый приходить упакованый  комплект  моточек мягкий вообще колючий дропс мохер шелк альпак flora опробовать прекрасно вести гладь надеяться порадовать,2,2,2
Бренд 8,"выглядеть оформление лев ))
",2,2,1
Бренд 90,"отлично работать реально действовать рассада апрель перенести рассада парник коврик ничто смерзать заказывать четвертый  :)
",2,1,1
Бренд 18,очень жаль удаваться попробовать пряжа т вместо заявлять  моточек приходить сиротливый лежать запаять пакет  хотеть перезаказывать упссс  цена руб подскакивать  руб это круто очень знать упрапвлять цена представитель бренд непосредственно вб скачок цена сотня гр повезти получать  акрил это крутой заценивать  знать это повлиять процент выкуп вб оценивать это второй косяк месяц фото пряжа вернуть сразу пункт выдача,2,2,2
Бренд 10,пряжа просто супер свитер легкий нежный теплый облачко снимать хотеться это первый связывать свой рука вещь нитка очень лояльный косяк пропустить петля т д )))  скрывать,2,2,2
Бренд 18,цвет темно фото несколько тон,2,2,2
Бренд 10,вязать удовольствие свитер размер м уходить  моток пряжа мягкий шелковистый пушистый стирка слегка растягиваться ширина резинка держать слабо вязать гладь,2,2,2
Бренд 21,приходить  моток обидно,2,1,0
Бренд 10,писать фото реальность большой разница цвет джинс серо-синий красивый насыщенный синий цвет темный слишком яркий пряжа довольный аляска хороший артикул производитель,2,2,1
Бренд 22,думать обходить напасть присылать правильный станок ан присылать снегирь очень жаль представитель бренд извиняться никакой действие данный повод предпринимать   отзыв претензия !!! сколько перезаказывать станок фортуна повертываться покупатель лицо,2,2,2
Бренд 33,производитель брать первый отлично размер соответствовать вышивка картина отлично брать товар рекомендовать упаковывать коробка надпись производитель ждать рама  см китайский картина люнивильский вышивка,2,2,1
Бренд 9,заказывать метраж хороший цвет соответствовать покупать упаковывать отлично спасибо большой продавец,2,2,1
Бренд 91,красивый рубаха пуговица нитка торчать обрезать ничто страшный плотный ткань тело приятный нравиться спасибо,2,2,2
Бренд 24,заказывать платить  маток получать  маток почему обман нк посоветовать заказывать обманывать человек,1,2,1
Бренд 24,соответствовать описание фото  шт мягкий,1,1,1
Бренд 35,вышиваться очень быстро фото передавать великолепие готовый работа икона светиться изнутри переливаться искриться освещение соответствующий блеск ослепительный благородный равнодушный просто весь хрустальный серия великолепный бусина запас весь оставаться атлас плотный единственный совет вау эффект вышивать прозрачный нитка бисер тк вкладывать комплект нитка титан просвечивать прозрачный бусина видный шов вышивать прозрачный нитка нитка уходить около  м нить катушка расшивать рекомендовать направление лик сторона иначе мочь лик сборить перетягивать wb самый выгодный цена серия  официальный сайт  чудотворец wb посчастливиться купить  багетный мастерская успех,2,2,2
Бренд 2,заказ приходить быстро второй день упаковка целый набор очень хороший понравиться качество нитка просто изумительный,2,1,1
Бренд 10,цвет соответствовать натура цвет темно сиреневый,2,2,2
Бренд 3,отрез ровный качественный канва вроде оригинальный zweigart выглядеть ощупь приятный единственный упаковка это никак говорить это обычный пакет штрих код цифра    никакой подпись пакет запечатывать защитный наклейка никакой плюс ко весь цвет отличаться цвет картинка дело канва какой-то бирюзовый светло-голубой немного разочаровывать использовать равный светло-голубой  aida день огонь сыскивать беларусь,2,2,2
Бренд 2,отлично 👍 набор собирать полагать полностью предыдущий отзыв конва отрезать ровно номер  схема поделить часть видно размыто заказывать бояться )),2,2,2
Бренд 56,лишний слово идеальный 😍,1,1,2
Бренд 24,заказывать салатовый цвет приходить желтый,1,1,2
Бренд 10,цвет совпадать  отказ,2,1,2
Бренд 24,тонкий нитка узелок качество плохой,2,1,1
Бренд 33,крепление снизу хлипкий шататься выскакивать отверстие ставить уголок заказывать хороший отзыв момент недоработка мастер должно стоять монолитно,2,2,1
Бренд 23,купить данный пряжа довязывать недовязанный болеро нитка оказываться предыдущий нитка кипельный белый отличие данный пряжа слева пряжа фирма сожаление разница цвет очень замнтный надеяться излелия разница заметный,2,2,2
Бренд 22,"  присылать станок собирать натяжение полотно устоить становиться снимать звезда работа склад товар отношение иметь ),  это просто жесть ",2,2,1
