Текст отзыва,Полезность (количество минусов),Не устраивает качество товара,Не устраивает цена товара,Брак заводской / брак в результате транспортировки
"Мне не понравилось, после нанесения неприятные ощущения в течение 5-10минут, как будто щипит, хотя на теле порезов и ран нет . Пользовалась в течение двух недель, ничего не изменилось, в итоге отдала масло))",1,0,0,0
Все отлично,1,0,0,0
Шикарная пряжа .,1,0,0,0
"Коврик отличный. Греет хорошо. Теперь моему цветочку тепло и уютно. Главное, чтобы прослужил долго",1,0,0,0
"Пряжа мягкая, приятно вязать, но только может я рыхло вяжу так, но устроило полотно только на спицах 3, на 4 рыхловато было, а производитель аж 5 рекомендует🤷🏼‍♀️",1,0,0,0
"Не заметили сразу, дома обнаружили что вместо 10, в упаковке 9 клубков... Обман!",1,0,0,0
"Очень красивая, приятная и качество 👍Связала подарок дедушке 🎁🧶🌸🎉",1,0,0,0
Вместо пряжи Drops Fabel белого цвета доставили пряжу Drops Alpaka бежевого цвета.,1,0,0,0
Оболденный кид-мохер на шёлке!  Италия конечно ни с чем не сравнима. На паутинку уходит 2.5 мотка,1,0,0,0
Классная работа получилась. Хороший бисер. Рекомендую.,1,0,0,0
выдали не весь заказ - пришлось возвращаться,1,0,0,0
Не хватает двух деталей. Вот таких закрепляющих барашков,1,0,0,0
Цвет не соответствует картинке.,1,0,0,0
"Всё замечательно, ещё не пробовала. Только зачем, Wildberries, клеить свою наклейку прямо на способ применения?",1,0,0,0
"Пряжа классная, мягкая, красивая. Но прислали 1 моток.",1,0,0,0
"Честно, пока не нашла для себя как его использовать. Мазала на кожу головы начался зуд, наносила на тело, остаётся липкая плёнка, не знаю что с ним делать",1,0,0,0
Качество ужас,1,0,0,0
"Не подошел цвет. Отказ, к сожалению",1,0,0,0
"Станок классный. Все обработано (без заусенцев). НО ЕСТЬ НЮАНСЫ: 
1. Я бы сделала инструкцию сборки основного станка пошаговой. У рамы такая есть. 
2. Обратите внимание на размеры болтов ( они разные). Мне пришлось перекручивать. 
3. Хорошо бы чтобы в перечне деталей основного станка была их картинка. 
4. Не ясно назначение деревянных дистанционных шайб. Если собирать по инструкции, то изделие перекашивается.
5. Ткань из зажимов ползет потихоньку. Приходится поправлять. 

Но в целом, впечатление позитивное. Хотелось бы лупу и подсветку к нему, а еще держатель для схемы.",1,0,0,0
"Отличное обслуживание,хороший набор",1,0,0,0
Вскрыт набор не хватает цветов ниток,1,0,0,0
"Прислали вместо зяблика от арабески, станок Серега мастер другой комплектации",1,0,0,0
Пряжа хорошая. Но цвет прислали другой. Пришлось оформить возврат. При новом заказе цена выросла на 600 рублей,1,0,0,0
"Классный мохер - мягкий, пушистый - очень хорошо подошёл для вязания маленьких вещей для маленьких куколок",1,0,0,0
"Отличная пряжа. На фото она светлее, чем в оригинале.",1,0,0,0
Пряжа шикарная,1,0,0,0
"Набор шикарный, с хорошей скидкой, полная комплектация.Спасибо продавцу!",1,0,0,0
Цвет на фотографии  отличается,1,0,0,0
"Вообще не понимаю, для чего оно... Никакого эффекта.... Зря потраченные деньги.",1,0,0,0
"Пряжа пришла быстро,но,видно что уже была использованна,где то испачкана,с потёртостями,и с выцветшими местами,безобразие,это я ещё не измерила сколько в мотке осталось метров,не хорошо впаривать б/у!",1,0,0,0
Спасибо за быструю доставку!,1,0,0,0
Цвет не соответствует описанию.,1,0,0,0
"Отличные нитки! Как и вся Пряжа этой фирмы)) не дёшево, но качество на 5! Советую к покупке.",1,0,0,0
"Очень ждала набор, но, к сожалению, вынуждена была отказаться, поступил вскрытый, в разодранной упаковке.",1,0,0,0
"Мне очень понравилась пряжа, брала для коврика.",1,0,0,0
Пришло быстро из упаковки не доставала ещё.,1,0,0,0
"Пришел спрей странный. Этикетка какая то мутная и не четко напечатано. Нет ни каких товарных знаков, штрихкодов, адрес производителя. Где и когда изготовлено. Печет сильно на коже, аж больно. На дне написано doplast.Производитель, это хороший товар? А деньги уплаченны.",1,0,0,0
Не настоящее!..... Подделка с распечатаной наклейкой.,1,0,0,0
Чвет белой-яичной скорлупы (не чистый белый),1,0,0,0
"Вышивка просто в удовольствие! Набор полностью укомплектован, бисер качественный и красивый, еще остался. Брала с хорошей скидкой! Благодарю производителя и магазин WB!",1,0,0,0
"Жаль, что нельзя поставить 0! Пришёл обычный отрез ткани.",1,0,0,0
Согласна с предыдущим автором: цвет совсем не тот.,1,0,0,0
"На фото образец, связанный на двушке. Цвета 15 и 04. Брала за 931 руб комплект. Это адекватная цена, соответствующая другим площадкам.",1,0,0,0
"Пряжа шикарная, но вот цвета вообще не попадают к сожалению. Пришлось делать возврат. На фото цвет в реальности и на сайте, номер 05.",1,0,0,0
"Ужасный покрой, красная цена 500 руб",1,0,0,0
Отличная пряжа,1,0,0,0
Набор пришел хорошо запакованным. И по супер цене!,1,0,0,0
"Упакована вышивка отлично! Конва качественная, бисер на 5 и 3 иглы в наличии! Но сама техника сложна обратите внимание- нет дырочек в Канаде, каждая бисеринка в своём отдельном направлении.",1,0,0,0
"Ужасный склад Казань ((((
Прислали непонятно, что, но только не мой заказ 
В сам магазин WB не позвонить, хоть и есть телефон((( не соединяют с оператором. Если можно было бы поставить 0 звезд,то я бы это сделала 

К качеству товара, претензий нет, тк нет товара",1,0,0,0
"Отвратительно. Жду уже больше недели, все время статус задерживается. Заказывала розовую и голубую. Голубая пришла очень быстро, а розовая непонятно где.",1,0,0,0
"Отличная пряжа, вязать одно удовольствие",1,0,0,0
"Пришли не те, очень жаль. Перезаказала",1,0,0,0
Весь пролитый. Когда вы научитесь упаковывать товар??????,1,0,0,0
Заказала серую пряжу. Пришла розовая. Отказ.,1,0,0,0
"Тёплая, мягкая пряжа, не растягивается в процессе носки. Связала кардиган и платье в одну нить.",1,0,0,0
"Заказывала 8 моточков на жакет, везли по 2 моточка.... из Казани, Москвы... но, бывают же чудеса, номер партии одинаковый!",1,0,0,0
"Отличный набор , картина получилась яркая , хороший бисер, спасибо производителю",1,0,0,0
"Отличная пряжа. На свитер женский 48 размер брала 6 мотков, вязала спицами 2.5 в одну нитку Лицевой гладью. Получилось отлично. Очень тёплый, тело дышит. Ношу с удовольствием. Спасибо. Цвет не светло-коричневый, а горчичный. Ооочень красивый.",1,0,0,0
Возврат . Прислали вместо белого цвета - зелёный.,1,0,0,0
"Набор мечта, был подарком от близких на День Рождения, но уважаемый продавец, совесть то надо иметь, недешевый набор приходит в таком виде, вскрытый, потасканный, пакет сверху одеть , это что , роскошь? Стояла в пункте выдачи, и не знала , что делать... Вроде все на месте,  но настроение испорченно.",1,0,0,0
"К сожалению, нить оказалась тоньше, чем я ожидала. 
Впервые столкнулась с длительным возвратом денежных средств 18.04 отказалась от пряжи, на сегодняшний день 26.04 даже оповещения о возврате денег не получила, обидно...",1,0,0,0
"Отлично работают, реально действует для рассады. Ещё в апреле перенесли рассаду в парник с этими ковриками - ничего не смёрзло. Заказываю уже четвёртый :)",1,0,0,0
"Прислали не тот набор, возврат !(((",1,0,0,0
Не понравилось совсем. Бисер плохого качества. Сама схема требует доработки......,1,0,0,0
"Заказывала маме, ей все понравилось! Она чаще Demensions покупает, поэтому я переживала, что схема со значками черно-белая, но ее хорошо видно на самом деле и не так сложно. Вышивается легко все двойным крестиком. Цвета у ниток очень понравились, ни одного слишком яркого или кислотного цвета, даже красный приятный и не раздражает. У нас все было запечатано.",1,0,0,0
"Он просто суперский! Весь такой гладенький, красивенький! Очень классный! Массаж им делаю без крема ,скользит отлично!  А если еще в холодильнике подержать, то супер с утра! Никаких сколов  или царапин нет. Он идеален! И функционален и красив! Спасибо",1,0,0,0
"Пряжа просто супер! Свитер легкий и нежный, тёплый, как облачко, снимать не хочется. Это была моя первая связанная своими руками вещь. Нитка очень лояльна к косякам, пропущенным петлям и т д))) все скрывает.",1,0,0,0
"Отличное поло , подошло идеально ,ткань приятная к телу , взяли по таблице размеров , на 58-60 р-р , на рост 176 смотрится 👍, были бы ,ещё другие цвета , этого размера , купили непременно .",1,0,0,0
"в целом, отличные пяльца. снимаю звезду по двум причинам. во-первых, инструкция это просто жуть. понятно, что ничего не понятно. приходится включить смекалку. мой вам совет, попробуйте собирать начиная с самой рамы для вышивки. во-вторых, нет креплений для полотна, так что заказывая это чудо, не забудьте и крепление.",1,0,0,0
Что за дерьмо? Украли моток... пакет разорван,1,0,0,0
"Купила спицы в ноябре, по большой скидке, была очень довольна, связала плед и когда довязывала плед у спицы оторвалась леска, неприятно, а так спицами довольна, приятны и удобны в работе",1,0,0,0
"Схема на нескольких листах. Это очень неудобно. Разметки нет на канве . игла ужасная . Обычно беру наборы другой фирмы пониже в цене , но здесь влюбилась в этот рисунок и решилась взять. Честно, пожалела . у варианта подешевле канва лучше , 2 хорошие иглы в наборе всегда , разметка на ней сразу есть (центр и края вышитого рисунка и на секции деление). Плюс инструкция на одном листе. И размер вышивки никак не влияет на это .  больше эту фирму брать не буду ...",1,0,0,0
Посылка пришла быстро. Спсб Wb,1,0,0,0
"Цвет 625 реально отличается от фотографии в магазине: цвет синих застиранных выгоревших джинсов. На любителя. Возможно спасет и освежит тонкая голубая ниточка мохера. Но доставили быстро, упаковка целая.",1,0,0,0
Цвет отличается,1,0,0,0
"Процесс, как всегда, увлекателен. Сама по себе вышивка не тяжелая, ввиду того, что составляющие небольшие. Сделала довольно быстро, но результат 🔥🔥🔥 все оценили",1,0,0,0
"Пришёл в упаковке , запечатанный ! Ничего не протекало ! Спасибо за масло   🔥",1,0,0,0
Пришла  одна канва без всего . Заказ  был  набором . Канва неизвестно из этого ли набора вообще . Возврат просьба не учитывать  проценты выкупа . Жаль конечно . Так долго ждала и хотела купить такой  набор .,1,0,0,0
"Третий раз заказываю эту икону, приходит другая, очень разочарована, так как хотела вышить в подарок. Когда будет исправлена ошибка?",1,0,0,0
"Маешь вещь, как говорится. Крючки замечательные! Единственный их недостаток - очень уж дорогие. Сама бы не купила, сын подарил.",1,0,0,0
Красивый набор,1,0,0,0
"Вместо белого пришла канва молочная/слоновая кость с люрексом, думала что мне повезет и пришлют белый)",1,0,0,0
Замечательно,1,0,0,0
"Товар пришел измятый, упаковка производителя порвана и вскрыта, причем не единожды.. Учитывая стоимость товара и хамское отношение сотрудника пункта выдачи возникает большое желание никогда не пользоваться вашими услугами....",1,0,0,0
Низкий поклон автору-создателю за такой шедевр. Спасибо службам доставки/выдачи.,1,0,0,0
"Пришла совсем другая картина, можно сделать возврат или обмен?",1,0,0,0
"Получила набор, впечатление испорчено . Сразу не поняла, что не так, а дома увидела, что нарушена упаковка, конверт запаян, видимо, в пункте сортировки, виден след от фабричной проклейки. Штрихкод  WB наклеен поверх другого. Получается, набор был вскрыт, от него отказались - и вот он вновь в продаже. Я читала уже обращения других покупателей, попавших в такую же ситуацию с открытыми наборами: зачем их вскрывать и что в них искать?!! И почему, если набор новый, запечатанный, позволяют вскрывать его и возвращать??! Это мне совершенно не понятно. Книги же не разрешено возвращать без брака, а такие недешевые наборы почему- то открывают и возвращают. Это претензия к организации работы WB скорее, чем к производителю. А производителю пожелание : сделайте, пожалуйста, фирменные пломбы, как у некоторых других компаний, тем более, что у вас классные наборы!! 
Набор оставила, что уж, дальше его запускать в оборот? Вроде, все на месте. 
Но очень неприятно вместо желанного получить ""кота в мешке"".",1,0,0,0
"Нитки тонковаты. Очень скользят по спицам. В одну нить, слишком тонко, да и скользко. Добавила другую нить и вяжу в 2 нитки. И качество как тонкая веревка, даже не пушится.Хотя цвет очень понравился.",1,0,0,0
"Zweigart Aida extra fine.заказывала для многоцветки с полным зашивом.Пришла с люрексом.Он пригодится,но мне нужна белая!!!!",1,0,0,0
"Пришло вовремя, крышка закрыта не плотно, поэтому немного разлилось. Консистенция маслянистая, без запаха. Сильно щипит, особенно если есть раздражения на коже. Про результат пока не могу сказать, надеюсь будет хороший.",1,0,0,0
"Неужели это Air...? Что мне приехало такое интересное, не подскажите?! Производитель будьте внимательней! Возврат конечно).",1,0,0,0
Очень хорошая пряжа,1,0,0,0
Странно написано 5 мотков а пришло 3! Как это понимать?,1,0,0,0
"Пряжа супер, ковточка из них получилась очень мягкая",1,0,0,0
Цвет нежный.  Очень красиво!!,1,0,0,0
Менее насыщен в действительности,1,0,0,0
Быстрая доставка👍,1,0,0,0
"Пришло все в срок, но после нескольких раскручиваний барашков которые держат раму на станке стали прокручиваться и не затягиваются до конца",1,0,0,0
"Связала джемпер-пончо оверсайз для мамы с коротким рукавом. Она носит 56 размер. Ушло 6 мотков, спицы - 4.5. Пряжа очень приятная, но к сожалению, не держит резинку, поэтому лучше выбирайте модели без резинок.",1,0,0,0
"Дозакозали пяльце,потом отпишусь",1,0,0,0
"Тройку поставила не товару, а продавцу! Неужели в описании трудно правильно описать цвет? Не просто белый, а белый с люрексом! К сожалению, не прочитала отзывы. Такое замечание уже было, но продавец не отреагировал! Ко льну претензий нет. Кусок отрезан ровно.",1,0,0,0
Цена слишком высокая к пряже претензий нет,1,0,0,0
Пряжей довольна.,1,0,0,0
"Пришло хорошо упаковано, ничего не протекло. Пока не использовала, так что дополню отзыв позже.",1,0,0,0
"Пакет разодран, заклеен скотчем вкривь и вкось. Неприятно о брать в руки. Почему дают вскрывать подобные товары? А потом принимают возврат и продают в таком виде? Неуважение к клиенту налицо. У ваших конкурентов такого никогда не бывает. Очень неприятно.",1,0,0,0
Связала пробный образец. Очень приятная пряжа.,1,0,0,0
👌🏼отличная пряжа,1,0,0,0
"Заказывала 5 мотков,в итоге пришёл всего 1. 1 моток в магазине стоит 240 рублей,но никак не 800! Так что заберите пожалуйста свой моток и верните деньги,я заказывала с целью сэкономить,а не наоборот",1,0,0,0
"Пряжа отличная но вернула, так как свет намного светлее оказался",1,0,0,0
"Очень аккуратно и надёжно сделаны. Но мне пришлось отказаться, потому что они очень тяжёлые. Не представляю, как их держать в руках при вышивании.",1,0,0,0
На картинке цает нити совсем другой темнее чем пришло. Вовзврат.,1,0,0,0
"Спасибо, все отлично.",1,0,0,0
"Почему так дорого продаёте,некаких скидок?",1,0,0,0
"Подарил жене, на 8 марта, она в восторге, качество на высоте, были до этого керамические, появились сколы, этот походу вечный и красивый) спасибо производителю, советую!",1,0,0,0
"Пряжа отличная, не колючая, всё моточки на месте",1,0,0,0
"Нитки очень понравились. Прямо удовольствие получаешь, когда нитки через руки проходят. Но конечно дороговато получается готовая вещь. Кофта на фото связана в 3 нитки. Ушло 15 мотков пряжи. Но очень теплая получилась, прямо шуба.",1,0,0,0
"Без крышки, разлитое, ужас, отправила запрос на возврат денег, не умеете делать качественный товар, не давайте рекламу! Не советую ни кому!",1,0,0,0
"Очень нежная пряжа и цвет потрясающий, но она не для новичков, если ошибёшься, то не распустить - она подваливается!",1,0,0,0
"Станок пришёл хорошего качества, минус только, что одна деталь плохо отполирована и сыпалась, и надпись на ножках станка расположена в одну сторону, но это не страшно, вышивку держит замечательно",1,0,0,0
Пришёл не тот цвет.,1,0,0,0
"К сожалению в комплекте не оказалось золотой нити, не проверила в пвз...",1,0,0,0
"Через месяц прогорел, через полтора совсем умер😏",1,0,0,0
Боковые ножки в максимально поднятом состоянии поднимаются на высоту где-то 48 см. Станок очень простой в сборке,1,0,0,0
"Заказ пришел соответствующий. Все как надо. Пользуюсь этой пряжей для вязания салфеток крючком. Очень качественная, без утолщений,  ровная, по всей длине, белоснежная, отливает светом. Люблю этот тон.",1,0,0,0
Заказала 23.02 сегодня 07.03 прошло 12 ! Товар так и не дошёл ! Где моя Пряжа ?!!,1,0,0,0
"Здравствуйте. Заказала набор. Все хорошо, но почти сразу появилась акция к 8 марта и набор стал стоить намного дешевле. Простите, но этот пришлось вернуть и заказать тот что дешевле. Для пенсионера это существенная скидка. Спасибо за скидку, но просто  жалко проделанную работу по доставке первого набора. Причем заказала еще два набора с другим рисунком и так же появилась акция, но как отказаться на товар, который еще в пути я не нашла.  В любом случае спасибо за скидку и за работу. Заказывала всегда здесь и буду заказывать в дальнейшем.",1,0,0,0
"Купил подарок жене, пришел не тот набор , а за 1200 руб. Как можно обменять товар?",1,0,0,0
"Пряжа хорошая, но упакована в герметичный пакет, при доставке в 1-2 недели портится, исправьте пожалуйста недочет",1,0,0,0
"Пришло все хорошо упаковано, все отлично, пока не пробовала-поэтому результат сказать не могу.",1,0,0,0
Связала бактус. Ушло два мотка ровно. Очень яркие нитки. Мне понравилось.,1,0,0,0
Ещё не вязала,1,0,0,0
Красивый цвет,1,0,0,0
Сейчас попробую но как пользоваться не пойму ничего не написаны,1,0,0,0
Классная расцветка джинсовки похожа на спецовку))) толи милитари толи хипсторская🥸,1,0,0,0
"Очень классная пряжа! Не колется совсем, в работе очень приятная, мягкая. Вязала в 4 нити.",1,0,0,0
Цвет цвет вообще никакой... на фото намного ярче...,1,0,0,0
"Масло пришло по какой то неведомой причине  без крышки и естественно разлилось , это как понимать ?",1,0,0,0
Отличная пряжа,1,0,0,0
"Всё пришло в срок, в целости и сохранности. Но, в будущем хотелось бы, чтобы покупатель не имел возможности открывать товар( наборы для вышивания), а потом возвращать его.",1,0,0,0
"Хочу вернуть товар. Заявлина техника ""гобилен"" а на деле совсем не гобилен....",1,0,0,0
"Соглашусь с предыдущими отзывами. Масло было упаковано в плёнку, но всё равно пролилось. Надеюсь, что вылилось немного.",1,0,0,0
"Флакон упакован пупыркой, сняв ее обнаружила мокрый флакон, в масле и горлышко распылителя едва закручено было.
Разочарована таким халатным упаковыванием и как следствие вытекшими мл 
Это огорчило немного, ",1,0,0,0
"Масло пришло в потребном виде, в полиэтиленовой упаковке. При использовании  ощущается покалывание. По эффективности напишу дополнительно, т к использовала однократно.",1,0,0,0
"Взяла очередной набор любимой украинской фирмы за 1800, это на 1000 р. дешевле, чем на их оф. сайте! Качество материалов, как всегда, отличное. Всё интуитивно понятно. Спасибо большое WB за вкусную цену.",1,0,0,0
Спасибо большое! Очень хороший и внимательный курьер!,1,0,0,0
"Само средство ещё не пользовала.
Пришло плотно завернутое в пупырку, но пролилось!!!!!!",1,0,0,0
"Открытая упаковка, половина ниток отсутствует",1,0,0,0
"Станок пришел не комплект, нет клипсов.",1,0,0,0
"Вышивка не по рисунку, а по схеме",1,0,0,0
Хорошие ! Понравились!,1,0,0,0
"Получила в срок. Всё бы хорошо, только стразы под номером 15 кто-то вытащил. Пришлось брать, так как на складе нет больше, а вышивать буду в подарок. Нет времени ждать.Очень неприятно. Где мне их искать теперь? Давно уже пора продавать запечатанные наборы!!! Каждый видит при выборе, что заказывает. Зачем открывать? Надоело уже. Не первый раз с этим сталкиваюсь.",1,0,0,0
"Научился вязать я совсем недавно. Эта пряжа очень приятная в вязке. Связал себе бактус платочной вязкой и шапочку лицевой. Ушло 4 мотка. Это уже после вто. Немного подсела, проц на 2, наверное. Распушилась. Очень рекомендую. Цвета яркие, красивые.",1,0,0,0
